NOC,IMF 2026
AFG,18080
AHO,
ALB,32411
ALG,284984
AND,4715
ANG,109855
ANT,2456
ANZ,1948227
ARG,667922
ARM,29082
ARU,4471
ASA, 
AUS,1948227
AUT,604198
AZE,80024
BAH,16841
BAN,519288
BAR,7944
BDI,9212
BEL,761174
BEN,27453
BER, 
BHU,3771
BIH,36239
BIZ,3442
BLR,90556
BOH,417134
BOL,57086
BOT,20708
BRA,2292690
BRN,49194
BRU,16457
BUL,142203
BUR,30705
CAF,3708
CAM,51506
CAN,2420837
CAY, 
CGO,16952
CHA,23556
CHI,363299
CHN,20650754
CIV,111446
CMR,67517
COD,88126
COK, 
COL,462251
COM,1770
CPV,3138
CRC,109135
CRO,113132
CRT,304838
CUB, 
CYP,43158
CZE,417134
DEN,500051
DJI,5003
DMA,791
DOM,138340
ECU,134711
EGY,399508
ERI, 
ESA,37981
ESP,2041830
EST,51036
ETH,125744
EUN,2509421
FIJ,6696
FIN,335534
FRA,3558562
FRG,5328184
FSM,519
GAB,22726
GAM,2672
GBR,4225639
GBS,2764
GDR,5328184
GEO,40177
GEQ,14103
GER,5328184
GHA,113494
GRE,304838
GRN,1524
GUA,129466
GUI,30922
GUM, 
GUY,27486
HAI,31097
HKG,446646
HON,40821
HUN,269916
INA,1550236
IND,4515629
IOA,
IRI,375644
IRL,750112
IRQ,273912
ISL,43404
ISR,666407
ISV,
ITA,2701544
IVB, British
JAM,24132
JOR,59288
JPN,4463634
KAZ,319770
KEN,140871
KGZ,21563
KIR,343
KOR,1936617
KOS,14097
KSA,1316250
KUW,162895
LAO,17781
LAT,52248
LBA,49164
LBR,5594
LCA,2770
LES,2474
LIB,28280
LIE,10116
LTU,104651
LUX,107758
MAD,21091
MAL,505364
MAR,196121
MAS,505364
MAW,17855
MDA,21024
MDV,8221
MEX,2030999
MGL,26520
MHL,332
MKD,20751
MLI,28478
MLT,30437
MNE,10229
MON, 
MOZ,26512
MRI,16756
MTN,12854
MYA,65171
NAM,16100
NBO,505364
NCA,21860
NED,1413076
NEP,49112
NFL,2420837
NGR,334341
NIG,26110
NOR,547693
NRU,183
NZL,280553
OMA,108913
PAK,410495
PAN,95905
PAR,51669
PER,326608
PHI,533922
PLE,13711
PLW,362
PNG,33463
POL,1109962
POR,364527
PRK, 
PUR,129192
QAT,239142
RHO,55434
ROT,
ROU,444807
RSA,443643
RUS,2509421
RWA,15472
SAA,5328184
SAM,1333
SCG,112108
SEN,39986
SEY,2249
SIN,606225
SKN,1190
SLE,9302
SLO,85738
SMR,2393
SOL,2051
SOM,13912
SRB,112108
SRI,98964
SSD,6033
STP,1125
SUD,39474
SUI,1074588
SUR,4870
SVK,167730
SWE,711503
SWZ,5495
SYR, 
TAN,95349
TCH,417134
TGA,616
THA,561509
TJK,18941
TKM,76897
TLS,2208
TOG,12176
TPE,971448
TTO,26758
TUN,60434
TUR,1576110
TUV,61
UAE,601163
UAR,
UGA,72456
UKR,224259
UNK,
URS,2509421
URU,90640
USA,31821293
UZB,159199
VAN,1176
VEN,79916
VIE,511059
VIN,1299
VNM,511059
WIF,
YAR,17240
YEM,17240
YMD,17240
YUG,
ZAM,33945
ZIM,55434
